rank,name,year,backhand
7,Gene Mayer,1982,Two-handed
8,Mats Wilander,1982,Two-handed
9,Johan Kriek,1982,One-handed
10,Yannick Noah,1982,One-handed
1,John McEnroe,1981,One-handed
2,Jimmy Connors,1981,Two-handed
3,Ivan Lendl,1981,One-handed
4,Bjorn Borg,1981,Two-handed
5,Jose Luis Clerc,1981,One-handed
6,Guillermo Vilas,1981,One-handed
7,Gene Mayer,1981,Two-handed
8,Eliot Teltscher,1981,One-handed
9,Brian Teacher,1981,One-handed
10,Peter Mcnamara,1981,One-handed
1,Bjorn Borg,1980,Two-handed
2,John McEnroe,1980,One-handed
3,Jimmy Connors,1980,Two-handed
4,Guillermo Vilas,1980,One-handed
5,Gene Mayer,1980,Two-handed
6,Ivan Lendl,1980,One-handed
7,Harold Solomon,1980,Two-handed
8,Jose Luis Clerc,1980,One-handed
9,Vitas Gerulaitis,1980,One-handed
10,Eliot Teltscher,1980,One-handed
1,Stefan Edberg,1990,One-handed
2,Boris Becker,1990,One-handed
3,Ivan Lendl,1990,One-handed
4,Andre Agassi,1990,Two-handed
5,Pete Sampras,1990,One-handed
6,Andres Gomez,1990,One-handed
7,Thomas Muster,1990,One-handed
8,Emilio Sanchez,1990,One-handed
9,Goran Ivanisevic,1990,Two-handed
10,Brad Gilbert,1990,One-handed
1,Stefan Edberg,1991,One-handed
2,Jim Courier,1991,Two-handed
3,Boris Becker,1991,One-handed
4,Michael Stich,1991,One-handed
5,Ivan Lendl,1991,One-handed
6,Pete Sampras,1991,One-handed
7,Guy Forget,1991,One-handed
8,Karel Novacek,1991,One-handed
9,Petr Korda,1991,One-handed
10,Andre Agassi,1991,Two-handed
1,Jim Courier,1992,Two-handed
2,Stefan Edberg,1992,One-handed
3,Pete Sampras,1992,One-handed
4,Goran Ivanisevic,1992,Two-handed
5,Boris Becker,1992,One-handed
6,Michael Chang,1992,Two-handed
7,Petr Korda,1992,One-handed
8,Ivan Lendl,1992,One-handed
9,Andre Agassi,1992,Two-handed
10,Richard Krajicek,1992,Two-handed
1,Pete Sampras,1993,One-handed
2,Michael Stich,1993,One-handed
3,Jim Courier,1993,Two-handed
4,Sergi Bruguera,1993,Two-handed
5,Stefan Edberg,1993,One-handed
6,Andrei Medvedev,1993,Two-handed
7,Goran Ivanisevic,1993,Two-handed
8,Michael Chang,1993,Two-handed
9,Thomas Muster,1993,One-handed
10,Cedric Pioline,1993,One-handed
1,Pete Sampras,1994,One-handed
2,Andre Agassi,1994,Two-handed
3,Boris Becker,1994,One-handed
4,Sergi Bruguera,1994,Two-handed
5,Goran Ivanisevic,1994,Two-handed
6,Michael Chang,1994,Two-handed
7,Stefan Edberg,1994,One-handed
8,Alberto Berasategui,1994,One-handed
9,Michael Stich,1994,One-handed
10,Todd Martin,1994,Two-handed
1,Pete Sampras,1995,One-handed
2,Andre Agassi,1995,Two-handed
3,Thomas Muster,1995,One-handed
4,Boris Becker,1995,One-handed
5,Michael Chang,1995,Two-handed
6,Yevgeny Kafelnikov,1995,Two-handed
7,Thomas Enqvist,1995,Two-handed
8,Jim Courier,1995,Two-handed
9,Wayne Ferreira,1995,Two-handed
10,Goran Ivanisevic,1995,Two-handed
1,Pete Sampras,1996,One-handed
2,Michael Chang,1996,Two-handed
3,Yevgeny Kafelnikov,1996,Two-handed
4,Goran Ivanisevic,1996,Two-handed
5,Thomas Muster,1996,One-handed
6,Boris Becker,1996,One-handed
7,Richard Krajicek,1996,One-handed
8,Andre Agassi,1996,Two-handed
9,Thomas Enqvist,1996,Two-handed
10,Wayne Ferreira,1996,Two-handed
1,Pete Sampras,1997,One-handed
2,Patrick Rafter,1997,One-handed
3,Michael Chang,1997,Two-handed
4,Jonas Bjorkman,1997,Two-handed
5,Yevgeny Kafelnikov,1997,Two-handed
6,Greg Rusedski,1997,One-handed
7,Carlos Moya,1997,Two-handed
8,Sergi Bruguera,1997,Two-handed
9,Thomas Muster,1997,One-handed
10,Marcelo Rios,1997,Two-handed
1,Pete Sampras,1998,One-handed
2,Marcelo Rios,1998,Two-handed
3,Alex Corretja,1998,One-handed
4,Patrick Rafter,1998,One-handed
5,Carlos Moya,1998,Two-handed
6,Andre Agassi,1998,Two-handed
7,Tim Henman,1998,One-handed
8,Karol Kucera,1998,Two-handed
9,Greg Rusedski,1998,One-handed
10,Richard Krajicek,1998,One-handed
1,Andre Agassi,1999,Two-handed
2,Yevgeny Kafelnikov,1999,Two-handed
3,Pete Sampras,1999,One-handed
4,Thomas Enqvist,1999,Two-handed
5,Gustavo Kuerten,1999,One-handed
6,Nicolas Kiefer,1999,Two-handed
7,Todd Martin,1999,Two-handed
8,Nicolas Lapentti,1999,Two-handed
9,Marcelo Rios,1999,Two-handed
10,Richard Krajicek,1999,One-handed
1,Gustavo Kuerten,2000,One-handed
2,Marat Safin,2000,Two-handed
3,Pete Sampras,2000,One-handed
4,Magnus Norman,2000,Two-handed
5,Yevgeny Kafelnikov,2000,Two-handed
6,Andre Agassi,2000,Two-handed
7,Lleyton Hewitt,2000,Two-handed
8,Alex Corretja,2000,One-handed
